Date,Referrer Category,Referrers,Clickthroughs
1/1/13,Search,100,11
1/1/13,Social,100,9
1/1/13,Earned Media,100,20
1/2/13,Search,110,9
1/2/13,Social,95,9
1/2/13,Earned Media,90,15
1/3/13,Search,106,10
1/3/13,Social,101,10
1/3/13,Earned Media,85,15
1/4/13,Search,101,12
1/4/13,Social,98,8
1/4/13,Earned Media,76,12
1/5/13,Search,104,10
1/5/13,Social,99,9
1/5/13,Earned Media,64,6
1/6/13,Search,110,11
1/6/13,Social,108,10
1/6/13,Earned Media,50,5
1/7/13,Search,112,12
1/7/13,Social,98,6
1/7/13,Earned Media,46,8
1/8/13,Search,120,12
1/8/13,Social,95,9
1/8/13,Earned Media,44,5
1/9/13,Search,125,14
1/9/13,Social,107,5
1/9/13,Earned Media,45,4
1/10/13,Search,123,9
1/10/13,Social,103,10
1/10/13,Earned Media,200,40
1/11/13,Search,126,21
1/11/13,Social,142,25
1/11/13,Earned Media,254,46
1/12/13,Search,135,18
1/12/13,Social,187,19
1/12/13,Earned Media,194,39
1/13/13,Search,122,12
1/13/13,Social,164,16
1/13/13,Earned Media,139,21
1/14/13,Search,111,11
1/14/13,Social,134,14
1/14/13,Earned Media,99,12
1/15/13,Search,114,13
1/15/13,Social,103,10
1/15/13,Earned Media,88,13
1/16/13,Search,109,11
1/16/13,Social,104,9
1/16/13,Earned Media,78,9
1/17/13,Search,115,18
1/17/13,Social,103,12
1/17/13,Earned Media,65,8
1/18/13,Search,119,16
1/18/13,Social,106,10
1/18/13,Earned Media,60,6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
